Unnamed: 0,Id_Reviews,Nombre_Franquicia,Latitud,Longitud,Categoria,Promedio_Rating,Cantidad_Reviews,Id_Estado,Nombre_Estado,Fecha,Id_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades,Total_Poblacion,Categoria_Densidad
9,10,Subway,33.4219142,-86.6759089,Fast food restaurant,3.0,24,1,Alabama,2019-09-28,1,190000.0,522000.0,1967,20576,5039877,Mediana
34,35,Subway,30.7033779,-88.1257305,Fast food restaurant,4.2,28,1,Alabama,2021-03-21,1,190000.0,522000.0,1967,20576,5039877,Mediana
35,36,Subway,33.4951158,-86.807479,Fast food restaurant,2.9,33,1,Alabama,2020-12-25,1,190000.0,522000.0,1967,20576,5039877,Mediana
57,58,Subway,33.3434117,-86.4377736,Fast food restaurant,4.1,44,1,Alabama,2020-09-15,1,190000.0,522000.0,1967,20576,5039877,Mediana
62,63,Subway,33.3337592,-86.9177133,Fast food restaurant,3.9,58,1,Alabama,2017-08-15,1,190000.0,522000.0,1967,20576,5039877,Mediana
88,89,Subway,30.5940516,-88.16248399999999,Fast food restaurant,4.1,27,1,Alabama,2018-11-01,1,190000.0,522000.0,1967,20576,5039877,Mediana
91,92,Subway,30.4269646,-87.68397949999999,Fast food restaurant,4.0,18,1,Alabama,2020-07-29,1,190000.0,522000.0,1967,20576,5039877,Mediana
102,103,Subway,31.1793119,-85.4040474,Fast food restaurant,3.1,24,1,Alabama,2019-12-28,1,190000.0,522000.0,1967,20576,5039877,Mediana
112,113,Subway,30.5531949,-88.1222678,Fast food restaurant,3.4,28,1,Alabama,2020-07-02,1,190000.0,522000.0,1967,20576,5039877,Mediana
117,118,Subway,33.5293683,-86.74808709999999,Fast food restaurant,4.3,58,1,Alabama,2020-03-31,1,190000.0,522000.0,1967,20576,5039877,Mediana
128,129,Subway,34.2152535,-86.1539999,Fast food restaurant,3.7,33,1,Alabama,2019-10-15,1,190000.0,522000.0,1967,20576,5039877,Mediana
136,137,Subway,30.6301476,-87.61590369999999,Fast food restaurant,3.7,68,1,Alabama,2019-06-08,1,190000.0,522000.0,1967,20576,5039877,Mediana
144,145,Subway,33.3058313,-87.6025958,Fast food restaurant,4.1,28,1,Alabama,2018-12-01,1,190000.0,522000.0,1967,20576,5039877,Mediana
155,156,Subway,33.3612859,-87.0012011,Fast food restaurant,3.6,28,1,Alabama,2018-07-08,1,190000.0,522000.0,1967,20576,5039877,Mediana
172,173,Subway,34.4952282,-87.2762317,Fast food restaurant,4.2,18,1,Alabama,2021-10-27,1,190000.0,522000.0,1967,20576,5039877,Mediana
173,174,Subway,34.8575246,-87.552087,Fast food restaurant,3.9,58,1,Alabama,2021-06-09,1,190000.0,522000.0,1967,20576,5039877,Mediana
174,175,Subway,31.2003759,-87.3104094,Fast food restaurant,3.7,77,1,Alabama,2021-06-09,1,190000.0,522000.0,1967,20576,5039877,Mediana
177,178,Subway,34.5342634,-86.5904827,Fast food restaurant,4.0,25,1,Alabama,2020-01-20,1,190000.0,522000.0,1967,20576,5039877,Mediana
179,180,Subway,34.0124195,-85.9881128,Fast food restaurant,3.8,28,1,Alabama,2018-04-09,1,190000.0,522000.0,1967,20576,5039877,Mediana
183,184,Subway,31.2680702,-85.4411571,Fast food restaurant,3.8,25,1,Alabama,2020-06-26,1,190000.0,522000.0,1967,20576,5039877,Mediana
192,193,Subway,32.3117998,-86.2239639,Fast food restaurant,3.7,48,1,Alabama,2021-10-23,1,190000.0,522000.0,1967,20576,5039877,Mediana
196,197,Subway,32.0890502,-88.2246868,Fast food restaurant,3.9,37,1,Alabama,2021-01-15,1,190000.0,522000.0,1967,20576,5039877,Mediana
198,199,Subway,33.6382892,-86.5795297,Fast food restaurant,4.1,77,1,Alabama,2018-10-24,1,190000.0,522000.0,1967,20576,5039877,Mediana
208,209,Subway,30.2905023,-87.5847816,Fast food restaurant,3.5,55,1,Alabama,2020-07-02,1,190000.0,522000.0,1967,20576,5039877,Mediana
209,210,Subway,34.6457964,-86.64563919999999,Fast food restaurant,3.7,27,1,Alabama,2020-07-31,1,190000.0,522000.0,1967,20576,5039877,Mediana
214,215,Subway,30.6722871,-88.2769797,Fast food restaurant,3.4,68,1,Alabama,2018-11-29,1,190000.0,522000.0,1967,20576,5039877,Mediana
228,229,Subway,30.532115,-87.7111085,Fast food restaurant,3.4,18,1,Alabama,2020-09-11,1,190000.0,522000.0,1967,20576,5039877,Mediana
246,247,Subway,34.1495886,-86.8413661,Fast food restaurant,3.7,18,1,Alabama,2020-10-16,1,190000.0,522000.0,1967,20576,5039877,Mediana
250,251,Subway,31.8434827,-85.17104619999999,Fast food restaurant,3.7,18,1,Alabama,2019-01-16,1,190000.0,522000.0,1967,20576,5039877,Mediana
252,253,Subway,31.1843997,-85.4657316,Fast food restaurant,3.6,48,1,Alabama,2017-11-04,1,190000.0,522000.0,1967,20576,5039877,Mediana
282,283,Subway,32.492937,-87.8492648,Fast food restaurant,4.1,37,1,Alabama,2020-04-25,1,190000.0,522000.0,1967,20576,5039877,Mediana
284,285,Subway,32.3015608,-87.7981825,Fast food restaurant,3.9,58,1,Alabama,2018-05-09,1,190000.0,522000.0,1967,20576,5039877,Mediana
301,302,Subway,34.7476164,-87.67364309999999,Fast food restaurant,3.9,47,1,Alabama,2018-01-15,1,190000.0,522000.0,1967,20576,5039877,Mediana
307,308,Subway,31.2948885,-85.4772004,Fast food restaurant,4.0,28,1,Alabama,2018-04-22,1,190000.0,522000.0,1967,20576,5039877,Mediana
